om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
618542,2020,01,04,2020-01-04,09:29:00,3,FL,12,0,0,1,0,0,0,28.7399,-81.9234,28.7589,-81.8907,2.3800,175,1,1,1,69,0,0,0,0
618543,2020,01,04,2020-01-04,10:26:00,3,FL,12,0,1,0,0,25000,0,29.0023,-81.3514,29.0264,-81.2841,4.3900,265,1,1,1,127,0,0,0,0
618544,2020,01,10,2020-01-10,10:34:00,3,OK,40,0,0,0,0,25000,0,35.4864,-96.6952,35.5013,-96.6814,1.3000,10,1,1,1,81,0,0,0,0
618545,2020,01,10,2020-01-10,11:55:00,3,OK,40,0,-9,0,0,0,0,36.0991,-95.1771,36.1163,-95.1659,1.0000,50,1,1,1,97,0,0,0,0
618546,2020,01,10,2020-01-10,14:27:00,3,MO,29,0,1,0,0,500000,0,37.6057,-93.6194,37.7037,-93.5194,8.7000,50,1,1,1,39,167,0,0,0
618547,2020,01,10,2020-01-10,14:46:00,3,TX,48,0,0,0,0,10000,0,33.0971,-97.6375,33.1023,-97.6343,0.4000,75,1,1,1,497,0,0,0,0
618548,2020,01,10,2020-01-10,14:49:00,3,OK,40,0,1,0,0,50000,0,35.7796,-95.0229,35.8369,-94.9480,5.8000,250,1,1,1,21,0,0,0,0
618549,2020,01,10,2020-01-10,15:20:00,3,MO,29,0,1,0,0,45000,0,38.0057,-93.1863,38.0222,-93.1664,1.5700,100,1,1,1,85,0,0,0,0
618550,2020,01,10,2020-01-10,17:41:00,3,TX,48,0,1,0,0,20000,0,32.4886,-97.4673,32.4934,-97.4502,1.0500,250,1,1,1,251,0,0,0,0
618551,2020,01,10,2020-01-10,17:42:00,3,MO,29,0,0,0,0,400000,0,37.2091,-93.2016,37.2830,-93.1150,6.9800,75,1,1,1,77,0,0,0,0
618552,2020,01,10,2020-01-10,18:15:00,3,TX,48,0,0,0,0,20000,0,33.3727,-95.7016,33.3776,-95.6965,0.4500,150,1,1,1,119,0,0,0,0
618553,2020,01,10,2020-01-10,18:22:00,3,TX,48,0,0,0,0,5000,0,33.4254,-95.6532,33.4265,-95.6513,0.1400,100,1,1,1,119,0,0,0,0
618554,2020,01,10,2020-01-10,18:42:00,3,TX,48,0,0,0,0,15000,0,32.9067,-96.9645,32.9161,-96.9492,1.1000,175,1,1,1,113,0,0,0,0
618555,2020,01,10,2020-01-10,19:44:00,3,AR,05,0,2,0,0,500000,0,35.2151,-93.5999,35.3784,-93.4622,13.6000,250,1,1,1,83,0,0,0,0
618556,2020,01,10,2020-01-10,19:45:00,3,AR,05,0,1,0,0,35000,0,35.4262,-93.8928,35.4381,-93.8244,3.9000,400,1,1,1,47,0,0,0,0
618557,2020,01,10,2020-01-10,21:34:00,3,TX,48,0,1,0,0,30000,0,30.4847,-96.8042,30.4861,-96.8034,0.1100,100,1,1,1,51,0,0,0,0
618558,2020,01,10,2020-01-10,23:21:00,3,TX,48,0,1,0,0,105000,0,31.8177,-95.1751,31.8250,-95.1646,0.8000,75,1,1,1,73,0,0,0,0
618559,2020,01,10,2020-01-10,23:33:00,3,TX,48,0,1,1,1,75000,0,31.5832,-94.7558,31.5855,-94.7197,2.1300,160,1,1,1,347,0,0,0,0
618560,2020,01,10,2020-01-10,23:43:00,3,TX,48,0,1,0,0,80000,0,31.8968,-94.8427,31.9194,-94.7755,4.2400,500,1,1,1,401,0,0,0,0
618561,2020,01,10,2020-01-10,23:53:00,3,TX,48,0,1,0,0,60000,0,31.4619,-94.8401,31.4638,-94.8354,0.3100,150,1,1,1,5,0,0,0,0
618562,2020,01,11,2020-01-11,00:18:00,3,TX,48,0,1,0,0,30000,0,32.3289,-94.4356,32.3336,-94.4286,0.5200,150,1,1,1,365,0,0,0,0
618563,2020,01,11,2020-01-11,00:30:00,3,TX,48,0,0,0,0,15000,0,32.6402,-94.2112,32.6549,-94.1626,3.0000,100,1,1,1,203,0,0,0,0
618564,2020,01,11,2020-01-11,00:39:00,3,TX,48,0,1,1,0,500000,0,31.7730,-94.2021,31.8110,-94.1090,6.0700,400,1,1,1,419,0,0,0,0
618565,2020,01,11,2020-01-11,00:52:00,3,MO,29,0,1,0,0,30000,0,37.5175,-89.9968,37.5170,-89.9932,0.2000,45,1,1,1,17,0,0,0,0
618566,2020,01,11,2020-01-11,00:58:00,3,AR,05,0,1,0,0,40000,0,34.6013,-91.8024,34.6015,-91.7949,0.4300,130,1,1,1,85,0,0,0,0
618567,2020,01,11,2020-01-11,01:24:00,3,LA,22,0,2,0,3,1325000,0,32.4571,-93.5875,32.6218,-92.9337,31.7900,300,1,1,1,15,119,27,0,0
618568,2020,01,11,2020-01-11,01:46:00,3,MO,29,0,2,0,0,750000,0,37.3500,-89.6118,37.4093,-89.4632,9.1300,300,1,1,1,31,0,0,0,0
618569,2020,01,11,2020-01-11,02:02:00,3,IL,17,0,1,0,0,80000,0,37.4460,-89.4021,37.4500,-89.3872,0.8600,50,1,1,1,181,0,0,0,0
618570,2020,01,11,2020-01-11,02:19:00,3,LA,22,0,1,0,0,60000,0,32.8654,-92.5633,32.8890,-92.5189,3.0500,250,1,1,1,111,0,0,0,0
618571,2020,01,11,2020-01-11,02:45:00,3,AR,05,0,1,0,0,600000,100000,33.1768,-92.0576,33.1856,-91.9813,4.4500,650,1,1,1,3,0,0,0,0
618572,2020,01,11,2020-01-11,02:54:00,3,AR,05,0,1,0,0,800000,100000,33.2576,-91.9609,33.2560,-91.8033,9.1100,800,1,1,1,3,0,0,0,0
618573,2020,01,11,2020-01-11,02:55:00,3,AR,05,0,1,0,0,400000,0,33.1761,-91.9441,33.1835,-91.7660,10.3100,800,1,1,1,3,0,0,0,0
618574,2020,01,11,2020-01-11,03:07:00,3,AR,05,0,2,0,0,3000000,800000,33.2638,-91.7598,33.3087,-91.4088,20.5100,1000,1,1,1,3,17,0,0,0
618575,2020,01,11,2020-01-11,03:24:00,3,AR,05,0,0,0,0,100000,0,33.3949,-91.4714,33.3980,-91.4579,0.8100,150,1,1,1,43,0,0,0,0
618576,2020,01,11,2020-01-11,03:33:00,3,AR,05,0,2,1,0,1135000,400000,33.3349,-91.3129,33.4551,-91.0448,17.6600,850,2,0,1,0,17,0,0,0
618576,2020,01,11,2020-01-11,03:33:00,3,AR,05,0,1,1,0,1010000,400000,33.3349,-91.3129,33.4460,-91.0580,11.2300,550,2,1,2,17,17,0,0,0
618576,2020,01,11,2020-01-11,03:44:00,3,MS,28,0,2,0,0,125000,0,33.3850,-91.1830,33.4551,-91.0448,6.4300,850,2,1,2,151,151,0,0,0
618577,2020,01,11,2020-01-11,03:36:00,3,AR,05,0,1,0,0,110000,0,33.3027,-91.2845,33.3023,-91.2816,0.1700,15,1,1,1,17,0,0,0,0
618578,2020,01,11,2020-01-11,03:48:00,3,MS,28,0,2,4,0,3000000,250000,33.6658,-91.0602,33.8076,-90.6907,23.3800,1800,1,1,1,11,0,0,0,0
618579,2020,01,11,2020-01-11,04:02:00,3,MS,28,0,1,0,0,350000,0,34.0377,-90.8624,34.0818,-90.8124,4.1800,880,1,1,1,11,0,0,0,0
618580,2020,01,11,2020-01-11,04:07:00,3,MS,28,0,1,0,0,50000,0,33.8988,-90.7434,33.9105,-90.7013,2.5500,270,1,1,1,11,0,0,0,0
618581,2020,01,11,2020-01-11,04:18:00,3,MS,28,0,2,0,0,700000,0,33.9183,-90.5201,33.9796,-90.4579,5.5400,1700,1,1,1,133,0,0,0,0
618582,2020,01,11,2020-01-11,04:19:00,3,MS,28,0,2,0,0,80000,0,33.8224,-90.5682,33.8749,-90.4978,5.4300,850,1,1,1,133,0,0,0,0
618583,2020,01,11,2020-01-11,04:26:00,3,MS,28,0,0,0,0,50000,0,33.9798,-90.4099,34.0013,-90.3807,2.2400,100,1,1,1,135,0,0,0,0
618584,2020,01,11,2020-01-11,04:38:00,3,TN,47,0,1,0,0,75000,0,36.3671,-89.1916,36.3885,-89.1712,1.8600,150,1,1,1,131,0,0,0,0
618585,2020,01,11,2020-01-11,04:42:00,3,MS,28,0,1,0,0,610000,0,34.6979,-90.1309,34.7778,-89.9594,11.2700,200,1,1,1,137,33,0,0,0
618586,2020,01,11,2020-01-11,04:45:00,3,MS,28,0,1,1,0,350000,0,34.2600,-90.1750,34.3011,-90.0892,5.6700,150,1,1,1,119,107,0,0,0
618587,2020,01,11,2020-01-11,04:53:00,3,MS,28,0,2,0,0,2600000,0,34.8576,-89.9206,34.9255,-89.8018,8.2100,300,1,1,1,33,0,0,0,0
618588,2020,01,11,2020-01-11,05:04:00,3,MS,28,0,0,0,0,110000,0,34.5045,-89.8584,34.5683,-89.7579,7.2500,150,1,1,1,107,137,0,0,0
618589,2020,01,11,2020-01-11,05:17:00,3,KY,21,0,1,0,0,2000000,0,36.6198,-88.7049,36.6256,-88.6698,1.9800,230,1,1,1,83,0,0,0,0
618590,2020,01,11,2020-01-11,05:21:00,3,MS,28,0,0,1,0,25000,0,34.6550,-89.6108,34.6923,-89.5184,5.8500,70,1,1,1,93,0,0,0,0
618591,2020,01,11,2020-01-11,05:36:00,3,TN,47,0,0,0,0,30000,0,35.1294,-89.3431,35.1463,-89.3148,1.9800,90,1,1,1,47,0,0,0,0
618592,2020,01,11,2020-01-11,05:42:00,3,KY,21,0,1,0,0,30000,0,36.8522,-88.3787,36.8817,-88.3578,2.3400,25,1,1,1,157,0,0,0,0
618593,2020,01,11,2020-01-11,05:58:00,3,TN,47,0,0,0,0,15000,0,36.2574,-88.8041,36.2573,-88.8027,0.0800,75,1,1,1,183,0,0,0,0
618594,2020,01,11,2020-01-11,06:04:00,3,LA,22,0,2,4,0,250000,0,30.5922,-91.7641,30.6070,-91.7545,1.2000,125,1,1,1,97,0,0,0,0
618595,2020,01,11,2020-01-11,06:45:00,3,MS,28,0,1,0,0,200000,0,34.4938,-88.7007,34.5483,-88.5949,7.2300,100,1,1,1,81,117,0,0,0
618596,2020,01,11,2020-01-11,06:50:00,3,KY,21,0,1,0,0,80000,0,36.7200,-88.0700,36.7300,-87.9900,4.4800,75,1,1,1,221,0,0,0,0
618597,2020,01,11,2020-01-11,06:56:00,3,MS,28,0,1,0,0,75000,0,34.5963,-88.5353,34.6864,-88.4410,8.2200,150,1,1,1,117,0,0,0,0
618598,2020,01,11,2020-01-11,07:00:00,3,KY,21,0,0,0,0,50000,0,36.8321,-87.9320,36.8433,-87.8577,4.1800,50,1,1,1,221,0,0,0,0
618599,2020,01,11,2020-01-11,07:05:00,3,KY,21,0,1,0,0,150000,0,36.9862,-87.8431,37.0300,-87.6700,10.0200,250,1,1,1,33,47,0,0,0
618600,2020,01,11,2020-01-11,07:08:00,3,MS,28,0,1,0,0,90000,0,34.7276,-88.3934,34.7862,-88.3226,5.7100,120,1,1,1,117,141,0,0,0
618601,2020,01,11,2020-01-11,07:12:00,3,KY,21,0,1,0,0,130000,0,37.0500,-87.7800,37.0700,-87.6500,7.4900,175,1,1,1,33,47,0,0,0
618602,2020,01,11,2020-01-11,07:17:00,3,MS,28,0,0,0,0,25000,0,34.8160,-88.2900,34.8220,-88.2796,0.7200,80,1,1,1,141,0,0,0,0
618603,2020,01,11,2020-01-11,07:19:00,3,KY,21,0,1,0,0,80000,0,37.0565,-87.6518,37.0870,-87.6134,2.9800,200,1,1,1,47,0,0,0,0
618604,2020,01,11,2020-01-11,07:34:00,3,KY,21,0,1,0,0,250000,0,36.6912,-87.5107,36.8064,-87.3752,10.9400,100,1,1,1,47,0,0,0,0
618605,2020,01,11,2020-01-11,07:40:00,3,KY,21,0,1,0,0,15000,0,36.8143,-87.4434,36.8313,-87.4013,2.6100,50,1,1,1,47,0,0,0,0
618606,2020,01,11,2020-01-11,09:33:00,3,MS,28,0,0,0,0,30000,0,32.3707,-89.4785,32.3988,-89.4403,2.9600,250,1,1,1,123,0,0,0,0
618607,2020,01,11,2020-01-11,11:11:00,3,AL,01,0,2,7,3,0,0,33.2379,-88.1545,33.3253,-88.1223,6.3300,1056,1,1,1,107,0,0,0,0
618608,2020,01,11,2020-01-11,13:03:00,3,AL,01,0,0,0,0,0,0,34.1749,-86.6197,34.1778,-86.6190,0.2100,80,1,1,1,43,0,0,0,0
618609,2020,01,11,2020-01-11,13:13:00,3,AL,01,0,1,0,0,0,0,34.3000,-86.5571,34.3148,-86.5305,1.8400,60,1,1,1,43,95,0,0,0
618610,2020,01,11,2020-01-11,13:19:00,3,AL,01,0,2,0,0,0,0,34.3974,-86.4466,34.4006,-86.4463,0.2200,150,1,1,1,95,0,0,0,0
618611,2020,01,11,2020-01-11,15:52:00,3,GA,13,0,0,0,0,100000,0,33.9108,-84.7582,33.9291,-84.6948,3.8600,400,1,1,1,223,67,0,0,0
618612,2020,01,11,2020-01-11,16:24:00,3,GA,13,0,0,0,0,250000,0,34.7415,-84.1414,34.7619,-84.0938,3.0500,450,1,1,1,111,0,0,0,0
618613,2020,01,11,2020-01-11,16:33:00,3,AL,01,0,1,0,0,0,0,31.7633,-85.3100,31.8093,-85.2285,5.8000,275,1,1,1,5,0,0,0,0
618614,2020,01,11,2020-01-11,16:48:00,3,GA,13,0,1,0,0,200000,0,32.9134,-84.5255,32.9147,-84.5198,0.3400,100,1,1,1,293,0,0,0,0
618615,2020,01,11,2020-01-11,16:55:00,3,TN,47,0,0,0,0,0,0,36.4600,-83.5800,36.4600,-83.5800,3.3000,30,1,1,1,25,0,0,0,0
618616,2020,01,11,2020-01-11,19:04:00,3,SC,45,0,0,0,0,1000,0,34.5500,-82.9140,34.5540,-82.9080,0.4400,30,1,1,1,7,0,0,0,0
618617,2020,01,11,2020-01-11,19:06:00,3,SC,45,0,0,0,0,0,0,34.5830,-82.8700,34.5860,-82.8670,0.2700,50,1,1,1,7,0,0,0,0
618618,2020,01,11,2020-01-11,19:40:00,3,SC,45,0,0,0,0,1000,0,34.1820,-82.2590,34.2010,-82.2220,2.4400,50,1,1,1,1,47,0,0,0
618619,2020,01,11,2020-01-11,19:40:00,3,SC,45,0,0,0,0,1000,0,34.6800,-82.4720,34.6890,-82.4680,0.6600,160,1,1,1,7,0,0,0,0
